date,home_team,away_team,home_goals,away_goals,match_uri
2023-08-11,Burnley,Man City,0,3,http://football-data.co.uk/match/Burnley_vs_Man_City_20230811
2023-08-12,Arsenal,Nott'm Forest,2,1,http://football-data.co.uk/match/Arsenal_vs_Nott'm_Forest_20230812
2023-08-12,Bournemouth,West Ham,1,1,http://football-data.co.uk/match/Bournemouth_vs_West_Ham_20230812
2023-08-12,Brighton,Luton,4,1,http://football-data.co.uk/match/Brighton_vs_Luton_20230812
2023-08-12,Everton,Fulham,0,1,http://football-data.co.uk/match/Everton_vs_Fulham_20230812
2023-08-12,Sheffield United,Crystal Palace,0,1,http://football-data.co.uk/match/Sheffield_United_vs_Crystal_Palace_20230812
2023-08-12,Newcastle,Aston Villa,5,1,http://football-data.co.uk/match/Newcastle_vs_Aston_Villa_20230812
2023-08-13,Brentford,Tottenham,2,2,http://football-data.co.uk/match/Brentford_vs_Tottenham_20230813
2023-08-13,Chelsea,Liverpool,1,1,http://football-data.co.uk/match/Chelsea_vs_Liverpool_20230813
2023-08-14,Man United,Wolves,1,0,http://football-data.co.uk/match/Man_United_vs_Wolves_20230814
2023-08-18,Nott'm Forest,Sheffield United,2,1,http://football-data.co.uk/match/Nott'm_Forest_vs_Sheffield_United_20230818
2023-08-19,Fulham,Brentford,0,3,http://football-data.co.uk/match/Fulham_vs_Brentford_20230819
2023-08-19,Liverpool,Bournemouth,3,1,http://football-data.co.uk/match/Liverpool_vs_Bournemouth_20230819
2023-08-19,Wolves,Brighton,1,4,http://football-data.co.uk/match/Wolves_vs_Brighton_20230819
2023-08-19,Tottenham,Man United,2,0,http://football-data.co.uk/match/Tottenham_vs_Man_United_20230819
2023-08-19,Man City,Newcastle,1,0,http://football-data.co.uk/match/Man_City_vs_Newcastle_20230819
2023-08-20,Aston Villa,Everton,4,0,http://football-data.co.uk/match/Aston_Villa_vs_Everton_20230820
2023-08-20,West Ham,Chelsea,3,1,http://football-data.co.uk/match/West_Ham_vs_Chelsea_20230820
2023-08-21,Crystal Palace,Arsenal,0,1,http://football-data.co.uk/match/Crystal_Palace_vs_Arsenal_20230821
2023-08-25,Chelsea,Luton,3,0,http://football-data.co.uk/match/Chelsea_vs_Luton_20230825
2023-08-26,Bournemouth,Tottenham,0,2,http://football-data.co.uk/match/Bournemouth_vs_Tottenham_20230826
2023-08-26,Arsenal,Fulham,2,2,http://football-data.co.uk/match/Arsenal_vs_Fulham_20230826
2023-08-26,Brentford,Crystal Palace,1,1,http://football-data.co.uk/match/Brentford_vs_Crystal_Palace_20230826
2023-08-26,Everton,Wolves,0,1,http://football-data.co.uk/match/Everton_vs_Wolves_20230826
2023-08-26,Man United,Nott'm Forest,3,2,http://football-data.co.uk/match/Man_United_vs_Nott'm_Forest_20230826
2023-08-26,Brighton,West Ham,1,3,http://football-data.co.uk/match/Brighton_vs_West_Ham_20230826
2023-08-27,Burnley,Aston Villa,1,3,http://football-data.co.uk/match/Burnley_vs_Aston_Villa_20230827
2023-08-27,Sheffield United,Man City,1,2,http://football-data.co.uk/match/Sheffield_United_vs_Man_City_20230827
2023-08-27,Newcastle,Liverpool,1,2,http://football-data.co.uk/match/Newcastle_vs_Liverpool_20230827
2023-09-01,Luton,West Ham,1,2,http://football-data.co.uk/match/Luton_vs_West_Ham_20230901
2023-09-02,Sheffield United,Everton,2,2,http://football-data.co.uk/match/Sheffield_United_vs_Everton_20230902
2023-09-02,Brentford,Bournemouth,2,2,http://football-data.co.uk/match/Brentford_vs_Bournemouth_20230902
2023-09-02,Burnley,Tottenham,2,5,http://football-data.co.uk/match/Burnley_vs_Tottenham_20230902
2023-09-02,Chelsea,Nott'm Forest,0,1,http://football-data.co.uk/match/Chelsea_vs_Nott'm_Forest_20230902
2023-09-02,Man City,Fulham,5,1,http://football-data.co.uk/match/Man_City_vs_Fulham_20230902
2023-09-02,Brighton,Newcastle,3,1,http://football-data.co.uk/match/Brighton_vs_Newcastle_20230902
2023-09-03,Crystal Palace,Wolves,3,2,http://football-data.co.uk/match/Crystal_Palace_vs_Wolves_20230903
2023-09-03,Liverpool,Aston Villa,3,0,http://football-data.co.uk/match/Liverpool_vs_Aston_Villa_20230903
2023-09-03,Arsenal,Man United,3,1,http://football-data.co.uk/match/Arsenal_vs_Man_United_20230903
2023-09-16,Wolves,Liverpool,1,3,http://football-data.co.uk/match/Wolves_vs_Liverpool_20230916
2023-09-16,Aston Villa,Crystal Palace,3,1,http://football-data.co.uk/match/Aston_Villa_vs_Crystal_Palace_20230916
2023-09-16,Fulham,Luton,1,0,http://football-data.co.uk/match/Fulham_vs_Luton_20230916
2023-09-16,Man United,Brighton,1,3,http://football-data.co.uk/match/Man_United_vs_Brighton_20230916
2023-09-16,Tottenham,Sheffield United,2,1,http://football-data.co.uk/match/Tottenham_vs_Sheffield_United_20230916
2023-09-16,West Ham,Man City,1,3,http://football-data.co.uk/match/West_Ham_vs_Man_City_20230916
2023-09-16,Newcastle,Brentford,1,0,http://football-data.co.uk/match/Newcastle_vs_Brentford_20230916
2023-09-17,Bournemouth,Chelsea,0,0,http://football-data.co.uk/match/Bournemouth_vs_Chelsea_20230917
2023-09-17,Everton,Arsenal,0,1,http://football-data.co.uk/match/Everton_vs_Arsenal_20230917
