team_name,wins,goals_for
1994–95 Manchester City F.C. season,0,0
2018–19 Liverpool F.C. season,0,0
2018–19 Tottenham Hotspur F.C. season,0,0
2014–15 Aston Villa F.C. season,0,0
2006–07 Tottenham Hotspur F.C. season,0,0
2008–09 Liverpool F.C. season,0,0
2008–09 Tottenham Hotspur F.C. season,0,0
2009–10 Liverpool F.C. season,0,0
2010–11 Liverpool F.C. season,0,0
2011–12 Liverpool F.C. season,0,0
2011–12 Chelsea F.C. season,0,0
2011–12 Queens Park Rangers F.C. season,0,0
2011–12 Newcastle United F.C. season,0,0
2015–16 Aston Villa F.C. season,0,0
2015–16 Everton F.C. season,0,0
2015–16 Manchester City F.C. season,0,0
2015–16 Newcastle United F.C. season,0,0
2015–16 Sunderland A.F.C. season,0,0
2015–16 Watford F.C. season,0,0
1999–2000 Watford F.C. season,0,0
2012–13 Chelsea F.C. season,0,0
2011–12 Arsenal F.C. season,0,0
2010–11 Manchester United F.C. season,0,0
2000–01 Liverpool F.C. season,0,0
2002–03 Arsenal F.C. season,0,0
2003–04 Arsenal F.C. season,0,0
2010–11 Aston Villa F.C. season,0,0
2010–11 Birmingham City F.C. season,0,0
2010–11 Manchester City F.C. season,0,0
2010–11 Tottenham Hotspur F.C. season,0,0
2011–12 Swansea City A.F.C. season,0,0
2012–13 Arsenal F.C. season,0,0
2009–10 Tottenham Hotspur F.C. season,0,0
2011–12 Sunderland A.F.C. season,0,0
2011–12 Tottenham Hotspur F.C. season,0,0
2012–13 Tottenham Hotspur F.C. season,0,0
2011–12 Manchester City F.C. season,0,0
2004–05 Bolton Wanderers F.C. season,0,0
2009–10 Portsmouth F.C. season,0,0
2009–10 Sunderland A.F.C. season,0,0
2009–10 West Ham United F.C. season,0,0
2009–10 Wolverhampton Wanderers F.C. season,0,0
2010–11 Blackburn Rovers F.C. season,0,0
2010–11 Blackpool F.C. season,0,0
2010–11 Sunderland A.F.C. season,0,0
2010–11 West Ham United F.C. season,0,0
2010–11 Wigan Athletic F.C. season,0,0
2011–12 Wolverhampton Wanderers F.C. season,0,0
2013–14 Hull City A.F.C. season,0,0
2014–15 Chelsea F.C. season,0,0
2014–15 Everton F.C. season,0,0
2014–15 Hull City A.F.C. season,0,0
2014–15 Newcastle United F.C. season,0,0
2014–15 Swansea City A.F.C. season,0,0
2005–06 Chelsea F.C. season,0,0
1995–96 Liverpool F.C. season,0,0
2012–13 Reading F.C. season,0,0
2012–13 Sunderland A.F.C. season,0,0
2012–13 Swansea City A.F.C. season,0,0
2023–24 Tottenham Hotspur F.C. season,0,0
1992–93 Aston Villa F.C. season,0,0
1993–94 Arsenal F.C. season,0,0
1995–96 Arsenal F.C. season,0,0
1996–97 Arsenal F.C. season,0,0
1997–98 Arsenal F.C. season,0,0
2000–01 Aston Villa F.C. season,0,0
2001–02 Aston Villa F.C. season,0,0
2002–03 Aston Villa F.C. season,0,0
2003–04 Aston Villa F.C. season,0,0
2004–05 Arsenal F.C. season,0,0
2004–05 Aston Villa F.C. season,0,0
2005–06 Aston Villa F.C. season,0,0
2006–07 Aston Villa F.C. season,0,0
2007–08 Aston Villa F.C. season,0,0
2008–09 Aston Villa F.C. season,0,0
1993–94 Chelsea F.C. season,0,0
1995–96 Chelsea F.C. season,0,0
1996–97 Chelsea F.C. season,0,0
1997–98 Chelsea F.C. season,0,0
1998–99 Chelsea F.C. season,0,0
1999–2000 Chelsea F.C. season,0,0
2000–01 Chelsea F.C. season,0,0
2001–02 Chelsea F.C. season,0,0
2002–03 Chelsea F.C. season,0,0
2003–04 Chelsea F.C. season,0,0
2004–05 Chelsea F.C. season,0,0
2006–07 Chelsea F.C. season,0,0
1995–96 Everton F.C. season,0,0
2004–05 Everton F.C. season,0,0
1992–93 Leeds United A.F.C. season,0,0
1993–94 Leeds United A.F.C. season,0,0
1993–94 Liverpool F.C. season,0,0
1994–95 Leeds United A.F.C. season,0,0
1995–96 Leeds United A.F.C. season,0,0
1995–96 Manchester United F.C. season,0,0
1997–98 Liverpool F.C. season,0,0
1999–2000 Leeds United A.F.C. season,0,0
2002–03 Liverpool F.C. season,0,0
2006–07 Liverpool F.C. season,0,0
2007–08 Liverpool F.C. season,0,0
