company,country,iso2,inception,companyLabel,countryLabel
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q6250,EH,1987-02-01T00:00:00Z,Q15910815,Western Sahara
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q1183,PR,1987-02-01T00:00:00Z,Q15910815,Puerto Rico
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q34,SE,1987-02-01T00:00:00Z,Q15910815,Sweden
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q398,BH,1987-02-01T00:00:00Z,Q15910815,Bahrain
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q213,CZ,1987-02-01T00:00:00Z,Q15910815,Czech Republic
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q148,CN,1987-02-01T00:00:00Z,Q15910815,People's Republic of China
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q408,AU,1987-02-01T00:00:00Z,Q15910815,Australia
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q878,AE,1987-02-01T00:00:00Z,Q15910815,United Arab Emirates
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q977,DJ,1987-02-01T00:00:00Z,Q15910815,Djibouti
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q843,PK,1987-02-01T00:00:00Z,Q15910815,Pakistan
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q23635,BM,1987-02-01T00:00:00Z,Q15910815,Bermuda
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q228,AD,1987-02-01T00:00:00Z,Q15910815,Andorra
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q34020,NU,1987-02-01T00:00:00Z,Q15910815,Niue
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q17063,YT,1987-02-01T00:00:00Z,Q15910815,Mayotte
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q804,PA,1987-02-01T00:00:00Z,Q15910815,Panama
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q916,AO,1987-02-01T00:00:00Z,Q15910815,Angola
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q414,AR,1987-02-01T00:00:00Z,Q15910815,Argentina
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q784,DM,1987-02-01T00:00:00Z,Q15910815,Dominica
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q5785,KY,1987-02-01T00:00:00Z,Q15910815,Cayman Islands
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q399,AM,1987-02-01T00:00:00Z,Q15910815,Armenia
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q244,BB,1987-02-01T00:00:00Z,Q15910815,Barbados
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q750,BO,1987-02-01T00:00:00Z,Q15910815,Bolivia
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q29999,NL,1987-02-01T00:00:00Z,Q15910815,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q15910815,http://www.wikidata.org/entity/Q958,SS,1987-02-01T00:00:00Z,Q15910815,South Sudan
